fid,OBJECTID,sisid,sci_name,presence,origin,seasonal,source,compiler,yrcompiled,data_sens,sens_comm,dist_comm,tax_comm,generalisd,version,yrmodified,citation,Shape_Length,Shape_Area
"74","203","22711284",Campylorhynchus gularis,"1","1","1","Howell and Webb, 1995; eBird, 2018, 2020; XenoCanto, 2018","NatureServe, 2002; Anna Motis (HBW); Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,40.1741867013822,32.5500538945283
"75","204","103887386",Campylorhynchus humilis,"1","1","1","Zook, 2002; eBird, 2016, 2020; XenoCanto, 2016","NatureServe, 2002; Jacob Willmore (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,36.4698235579328,8.57680154004655
"76","205","103887340",Campylorhynchus rufinucha,"1","1","1","eBird, 2016, 2020","Jacob Willmore (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,4.9363017426329,0.708938986942459
"77","206","22711313",Campylorhynchus zonatus,"1","1","1","Ridgely, 2002; Martin et al., 2016; eBird, 2018, 2020; XenoCanto, 2018","NatureServe, 2002; Anna Motis (HBW); Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,93.9211975536747,48.4467451001673
"78","208","22721882",Cardellina canadensis,"1","1","4","Sibley, 2000; Howell and Webb, 1995; Stiles and Skutch, 1989; Zook, 2002","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,469.48908927295,387.692981189596
"79","209","22721882",Cardellina canadensis,"1","1","3","Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002; Ridgely, 2002; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,153.892102034091,103.812265538228
"80","211","22721879",Cardellina pusilla,"1","1","3","Ridgely and Gwynne, 1989; Zook, 2002; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,258.22072215439,130.50661989167
"81","212","22721879",Cardellina pusilla,"1","1","4","Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,719.859122956272,934.941719501903
"83","214","22708631",Catharus aurantiirostris,"1","1","1","Stiles and Skutch, 1989; Zook, 2002; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002; Gallardo, 2014; eBird, 2018, 2020; XenoCanto, 2018","NatureServe, 2002; Anna Motis (HBW); Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,166.691543846856,60.5529806687927
"84","215","22708643",Catharus frantzii,"1","1","1","Stiles and Skutch, 1989; Zook, 2002; Gallardo, 2014; Martin et al., 2016; eBird, 2018; XenoCanto, 2018","NatureServe, 2002; Anna Motis (HBW); Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,85.4157153735289,24.0317328704137
"85","218","22708667",Catharus guttatus,"1","1","3","Poole and Gill, 1992-2002","BirdLife International, Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,488.209285392143,405.354982516127
"86","221","22708658",Catharus minimus,"1","1","4","Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002","BirdLife International, Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,1094.24713581737,923.915450498312
"87","222","22708658",Catharus minimus,"1","1","3","Ridgely and Gwynne, 1989; Zook, 2002; Ridgely, 2002","BirdLife International, Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,214.760042835599,380.228583218037
"90","226","103881981",Catharus swainsoni,"1","1","3","Ridgely, 2002; HBW; eBird","Colin Michel (Birdlife International), WWF-US, 2000; NatureServe, 2002","2021","0", ,,,"0","2022.1",2016,BirdLife International and Handbook of the Birds of the World,149.862594181992,177.557873639483
"91","227","103881981",Catharus swainsoni,"1","1","4","eBird, 2020",Claudia Hermes (BirdLife International),"2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,683.871597637384,960.638598434789
"92","229","22700933",Cephalopterus glabricollis,"1","1","2","Ridgely and Gwynne 1989; van Perlo 2006; Garrigues and Dean 2007; MÃºnera-RoldÃ¡n et al. 2007",Joe Taylor (BirdLife International),"2021","0", , , ,"0","2022.1",2012,BirdLife International and Handbook of the Birds of the World,14.554325557015,1.1824703365439
"93","230","22700933",Cephalopterus glabricollis,"1","1","3","Ridgely and Gwynne 1989; van Perlo 2006; Garrigues and Dean 2007; Mánera-Roldan et al. 2007; eBird 2021","Joe Taylor (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,13.6202612188933,1.03085198906603
"94","231","22711244",Certhia americana,"1","1","3","Peterson, 1980; Peterson, 1990; eBird, 2020","WILDSPACETM 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,315.635365523264,375.710556536369
"95","232","22711244",Certhia americana,"1","1","1","Peterson, 1980; Peterson, 1990; Howell and Webb, 1995;Peterson, 1980; Peterson, 1990; Martin et al., 2016; eBird, 2020","WILDSPACETM 2002; NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,1540.21558701526,667.926098978664
"96","234","22711244",Certhia americana,"1","1","2","Peterson, 1980; Peterson, 1990; Howell and Webb, 1995;Peterson, 1980; Peterson, 1990; eBird, 2020","WILDSPACETM 2002; NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,309.417715404814,167.372780739325
"97","236","22688257",Chaetocercus bombus,"3","1","1","BirdLife International; eBird, 2021","Rob Martin (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,27.0994016670965,3.61395114637533
"98","237","22688257",Chaetocercus bombus,"1","1","1","BirdLife International; eBird, 2021","Rob Martin (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,66.2296836373838,10.6649355442897
"99","239","22730119",Chaetura fumosa,"1","1","1","AOU, 2002; Stiles and Skutch, 1989; Zook, 2002; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,11.8194982331718,1.27122152575541
"100","240","22687652",Chalybura buffonii,"1","1","1","Ridgely and Gwynne, 1989; Zook, 2002; Ridgely, 2002; eBird, 2020","NatureServe, 2002; Rob Martin (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,115.737776670285,42.0470832026419
"101","245","22687310",Chlorostilbon assimilis,"1","1","1","Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002; eBird point data, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,49.2255356650445,4.55447655026225
"102","249","22721191",Chondestes grammacus,"1","1","3","Poole and Gill, 1992-2002","NatureServe, Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,133.715219952788,96.1479504879922
"103","250","103881097",Cichlopsis gularis,"1","1","1","Ridgely, 2002, 2009; Restall et al., 2006; eBird, 2021","WWF-US, 2000; NatureServe, 2002; Alwin Hardenbol (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,14.9881720618145,6.04938138064274
"106","253","22708163",Cinclus mexicanus,"1","1","1","Ridgley, 2003; del Hoyo, 2005; Peterson, 1990; Scott, 1983; Martin et al., 2016; eBird, 2020","WILDSPACETM 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,1091.29197446797,687.236875287149
"108","286","22711374",Cistothorus palustris,"1","1","3","Poole and Gill, 1992-2002","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,283.883921488046,273.879081482435
"109","287","22711374",Cistothorus palustris,"1","1","1","Poole and Gill, 1992-2002","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,360.812547382211,142.417166904629
"110","303","22684331",Coccyzus americanus,"1","1","3","Ridgely, 2002; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,375.866870404392,1176.50526491651
"111","304","22684331",Coccyzus americanus,"1","1","2","AOU, 1998","NatureServe, 2002","2021","0", ,,,"0","2022.1",2006,BirdLife International and Handbook of the Birds of the World,595.537186898744,530.516078912938
"112","305","22684331",Coccyzus americanus,"1","1","4","AOU, 1998","NatureServe, 2002","2021","0", ,,,"0","2022.1",2006,BirdLife International and Handbook of the Birds of the World,322.825002459907,154.833668584907
"113","306","22684328",Coccyzus erythropthalmus,"1","1","4","Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002; AOU, 1998","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,376.946517652034,334.340566602253
"114","308","22684328",Coccyzus erythropthalmus,"1","1","3","Ridgely, 2002","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,109.875363930549,188.835922273294
"119","313","22687106",Colibri delphinae,"1","1","1","Ridgely, 2002; Claessens & Comité d'Homologation de Guyane, 2015","WWF-US, 2000; NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,228.513527184843,98.5516886208793
"120","314","45093141",Colinus cristatus,"1","1","1","Howell and Webb, 1995; Zook, 2002; eBird, 2020","NatureServe, 2002; Joe Taylor (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,173.174803814604,161.150204170816
"123","317","22679623",Colinus nigrogularis,"1","1","1","AOU, 1998; Zook, 2002; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,33.228290844908,11.7207747735976
"125","322","22728504",Conopophaga cearae,"1","1","1",GBIF.org 2021,Hannah Wheatley (BirdLife International),"2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,35.4579751508137,3.65606024707704
"126","323","22699811",Contopus sordidulus,"1","1","4","Raffaele et al., 1998;Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002","NatureServe, 2002, Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,315.509217334317,107.578188804739
"127","324","22699811",Contopus sordidulus,"1","1","2","Ralph C. J.; Howell and Webb, 1995; Ralph C. J.","WILDSPACETM 2002; NatureServe, 2002, Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,801.927735066154,822.566098104817
"128","325","22699811",Contopus sordidulus,"1","1","3","Ridgley, 2003, Hilty, 2003; del Hoyo et al, 2004; Ridgely, 2002","NatureServe, 2002, Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,148.378356277778,274.86196958053
"129","327","22699816",Contopus virens,"1","1","4","Sibley, 2000; Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,385.459978992705,117.130897198377
"130","328","22699816",Contopus virens,"1","1","3","Ridgely, 2002","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,135.642735492493,420.385846659326
"132","337","45092100",Crax fasciolata,"1","1","1","Delacour & Amadon, 2004; van Perlo, 2009; WikiAves 2019, eBird 2021","Joe Taylor (BirdLife International); Hannah Wheatley (BirdLife International)","2021","0", , , ,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,89.8026749812373,279.003995023693
"133","338","45092100",Crax fasciolata,"4","1","1","Delacour & Amadon, 2004; van Perlo, 2009","Joe Taylor (BirdLife International); Hannah Wheatley (BirdLife International)","2021","0", , , ,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,18.4076976528664,6.34779123272821
"134","342","22684438",Crotophaga sulcirostris,"1","1","1","Ridgley, 2003, del Hoyo et al, 1997; Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002; Poole & Gill, 1992-2005; Kenefick et al, 2007; Erritzøe et al, 2012; ffrench, 2012; eBird, 2020","NatureServe, 2002-2005; Lynda Donaldson (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,371.723284542047,221.576344480235
"135","343","61214753",Crypturellus cinnamomeus,"1","1","1","Stiles & Skutch, 1989; Howell & Webb, 1995; Zook, 2001; eBird, 2021","NatureServe, 2002; Rob Martin, Lynda Donaldson (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,93.362786315451,42.0196833237818
